REGION,DATA_SET,GEAR_MODEL,STATION,LONGITUDE,LATITUDE,DATE_TIME,Z_MIN,Z_MAX,Z_STATION,Cfin_CI,Cfin_CII,Cfin_CIII,Cfin_CIV,Cfin_CV,Cfin_CVIf,Cfin_CVIm,Cfin_CVIu,Cglac_CI,Cglac_CII,Cglac_CIII,Cglac_CIV,Cglac_CV,Cglac_CVIf,Cglac_CVIm,Cglac_CVIu,Chyp_CI,Chyp_CII,Chyp_CIII,Chyp_CIV,Chyp_CV,Chyp_CVIf,Chyp_CVIm,Chyp_CVIu,T_MEAN,T_MIN,T_MAX,T_0_50,T_NEAR_BOTTOM,PSAL_MEAN,PSAL_MIN,PSAL_MAX,PSAL_0_50,PSAL_NEAR_BOTTOM,DENSITY_MEAN,DENSITY_MIN,DENSITY_MAX,DENSITY_0_50,DENSITY_NEAR_BOTTOM,MIN_SUB_T,DEPTH_MIN_SUB_T,CIL_UP,CIL_LOW,CIL_THICK,T_B_CIL,MEAN_KD490,SPAN,BLOOM_SEASON
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,2,-68.519,41.434,1995-01-11 20:24:00,5.6,16.2,94,0,0.44,0.67,0.22,2.66,0.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,2,-68.519,41.434,1995-01-11 20:24:00,16.8,41.9,94,0,0,2.65,1.32,4.85,1.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,2,-68.519,41.434,1995-01-11 20:24:00,42.9,68.9,94,0,0,0,0,0.96,1.44,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,4,-67.552,41.389,1995-01-12 19:51:00,15.7,29.7,44,0,0,0.23,0.47,2.56,1.4,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,5,-66.521,41.67,1995-01-14 13:22:00,4.1,15,75,1.19,0.59,1.19,0,4.76,63.06,7.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,5,-66.521,41.67,1995-01-14 13:22:00,15,40.7,75,0,0,0,0,3.96,18.5,3.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,5,-66.521,41.67,1995-01-14 13:22:00,40.7,61.6,75,0.52,0,0,0,7.31,15.91,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,7,-66.617,42.326,1995-01-15 14:26:00,4.3,11.1,300,0,6.13,1.75,1.75,33.29,79.72,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,7,-66.617,42.326,1995-01-15 14:26:00,13.1,38,300,5.81,0,8.71,2.9,11.61,8.71,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,7,-66.617,42.326,1995-01-15 14:26:00,38.9,99,300,0,0.12,0,2.99,11.11,8.96,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,7,-66.617,42.326,1995-01-15 14:26:00,100.2,272.8,300,0,0,0.59,12.35,85.26,2.06,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,16,-66.082,40.837,1995-01-18 02:24:00,5.5,13.8,2500,0.74,0,0.74,0,1.48,0.74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,16,-66.082,40.837,1995-01-18 02:24:00,14.7,37.6,2500,0,0,0,0,0,0.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,16,-66.082,40.837,1995-01-18 02:24:00,39.1,99.1,2500,0,0,0,0,0,0.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,16,-66.082,40.837,1995-01-18 02:24:00,100,401.6,2500,0.21,0.23,0.11,0.28,3.58,1.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,1,-68.968,41.469,1995-01-21 19:57:00,4.3,11.1,150,0,0,0,5.34,14.23,117.42,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,1,-68.968,41.469,1995-01-21 19:57:00,12.5,40.5,150,0.5,3.99,0.5,0,5.98,35.38,3.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,1,-68.968,41.469,1995-01-21 19:57:00,41.1,98.6,150,0.12,0,0,1.11,17.32,8.91,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,1,-68.968,41.469,1995-01-21 19:57:00,100.7,140.3,150,0,0,0,0.95,31.7,3,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,MC,Winter
GOM,GOM_GLOBEC,MOCNESS_1m2_150um,2,-68.793,43.718,1999-02-27 17:16:00,0,15,124,54.1,41.37,54.1,17.5,7.96,68.42,0,,,,,,,,,,,,,,,,,,3.63,3.63,3.63,3.63,3.85,32.56,32.56,32.56,32.56,32.58,25.9,25.9,25.9,25.9,26.36,3.72,73,,,,,0.11,MO,Winter
